Date,Open,High,Low,Close ,Adj Close ,Volume
30-Aug-24,415.6,417.49,412.13,417.14,415.47,"24,308,300"
29-Aug-24,414.94,422.05,410.6,413.12,411.47,"17,045,200"
28-Aug-24,414.88,415,407.31,410.6,408.96,"14,882,700"
27-Aug-24,412.86,414.36,410.25,413.84,412.19,"13,492,900"
26-Aug-24,416.37,417.28,411.34,413.49,411.84,"13,152,800"
23-Aug-24,416.98,419.26,412.09,416.79,415.13,"18,493,800"
22-Aug-24,424.36,426.79,414.61,415.55,413.89,"19,361,900"
21-Aug-24,424.08,426.4,421.72,424.14,422.45,"16,067,300"
20-Aug-24,421.7,425.86,421.64,424.8,423.1,"16,387,600"
19-Aug-24,418.96,421.75,416.46,421.53,419.85,"15,234,000"
16-Aug-24,420.6,421.34,417.3,418.47,416.8,"22,775,600"
15-Aug-24,419.8,421.11,417.66,421.03,419.35,"20,752,100"
14-Aug-24,414.8,417.72,412.45,416.86,414.45,"18,267,000"
13-Aug-24,409.59,414.95,409.57,414.01,411.61,"19,414,300"
12-Aug-24,407.06,408.76,404.24,406.81,404.46,"16,762,900"
9-Aug-24,404.03,408.05,402.26,406.02,403.67,"19,276,700"
8-Aug-24,402.44,405.86,399.94,402.69,400.36,"20,203,000"
7-Aug-24,408.64,410.08,397.47,398.43,396.12,"20,650,900"
6-Aug-24,400,405.67,398.5,399.61,397.3,"24,946,500"
5-Aug-24,389.17,401.04,385.58,395.15,392.86,"40,709,200"
2-Aug-24,412.49,415,404.34,408.49,406.13,"29,437,900"
1-Aug-24,420.79,427.46,413.09,417.11,414.7,"30,296,400"
31-Jul-24,420.5,421.78,412.21,418.35,415.93,"42,891,400"
30-Jul-24,427.72,429.05,417.36,422.92,420.47,"32,687,600"
29-Jul-24,431.58,432.15,424.7,426.73,424.26,"15,125,800"
26-Jul-24,418.2,428.92,417.27,425.27,422.81,"23,583,800"
25-Jul-24,428.8,429.8,417.51,418.4,415.98,"29,943,800"
24-Jul-24,440.45,441.48,427.59,428.9,426.42,"26,805,800"
23-Jul-24,443.9,448.39,443.1,444.85,442.28,"13,107,100"
22-Jul-24,441.79,444.6,438.91,442.94,440.38,"15,808,800"
19-Jul-24,433.1,441.14,432,437.11,434.58,"20,940,400"
